id,nome,preco,codigo,por_peso,codigo_id,vendido
13,"AMENDOA 100 GR UNI.",7,7890000003148,0,314,1
14,"AMENDOIM GRELHADITOS 27GR",1,7896336012250,0,90784,1
15,"AMENDOIM MENDORATO 27GR",1,7896336012243,0,90783,1
20,"ARROZ DOCE",4,7890000003155,0,315,1
25,"B LACTEA  CHOCOMIL BLACK  LT 500ML",6,7896590817424,0,90773,1
26,"BALA BUTTER TOFFEES CHOC. AMARGO",0,7890000000208,0,20,1
27,"BALA BUTTER TOFFEES CHOCOLATE",0,7890000000697,0,69,1
28,"BALA BUTTER TOFFEES MENTA/ MINT",0,7890000000673,0,67,1
29,"BALA BUTTER TOFFEES TORTA DE LIMAO",0,7890000000680,0,68,1
30,"BALA CAFE SOBREANA",0,7890000000642,0,64,1
31,"BALA CANELA",0,7890000000376,0,37,1
32,"BALA CHITA",0,7890000000116,0,11,1
33,"BALA DROPS HALLS EXTRA FORTE 21 UNID",2,7890000006453,0,645,1
34,"BALA DROPS HALLS MELANCIA 21 UNID",2,7890000006460,0,646,1
35,"BALA DROPS HALLS MORANGO 21 UNID",2,7890000006477,0,647,1
36,"BALA GOMA DORI",1,7896058506105,0,44,1
37,"BALA HALLS CEREJA",2,78938793,0,75,1
38,"BALA HALLS EXTRA FORTE",2,78938816,0,71,1
39,"BALA HALLS MELANCIA",2,78938854,0,73,1
40,"BALA HALLS MENTA",2,78938830,0,74,1
41,"BALA HALLS MENTOL",2,78938823,0,72,1
42,"BALA HALLS MORANGO",2,78938847,0,41,1
43,"BALA HALLS UVA VERDE",2,78938861,0,70,1
44,"BALA HORTELA",0,7890000000383,0,38,1
45,"BALA ICE KISS SORTIDAS",0,7890000000437,0,43,1
46,"BALA LILITH",0,7890000000109,0,10,1
47,"BALA PACOQUITA",0,7890000000352,0,35,1
48,"BALA SANTA RITA SORTIDAS",0,7890000000659,0,65,1
53,"BANOFFEE UNID.",4,7890000005562,0,556,1
54,BARQUETE,39,7890000907705,1,90770,1
62,"BATATA EM FLOCOS NUTRICIONAL 1 KG",0,7890000001212,0,121,1
66,"BATATA RECHEADA CALABRESA C/ALHO PORO",9,7890000003988,0,398,1
67,"BATATA RECHEADA FRANGO",9,7890000003995,0,399,1
68,BATON,1,78912359,0,18,1
69,"BATON BRANCO",1,78912366,0,19,1
70,"BEBIDA LACTEA CHOC 200ML CHOCOMIL",1,7896590802123,0,658,1
71,"BEBIDA LACTEA CHOC 200ML TREVINHO KIDS",1,7896791970867,0,90853,1
72,"BEBIDA LACTEA CHOCOMIL 1L CEMIL",7,7896590801263,0,660,1
73,"BEBIDA LACTEA FRUTAS 1L VITAMIL",7,7896590801225,0,661,1
74,"BEBIDA LACTEA FRUTAS 200ML VITAMIL",1,7896590809023,0,659,1
75,"BEIJINHO UNID.",0,7890000005548,0,554,1
76,"BIG BIG 315GR MORANGO",0,7890000005487,0,548,1
77,"BIG BIG 315GR UVA",0,7890000005494,0,549,1
78,"BISCOITO COM QUEIJO TORRADINHO TESOURO DE MINAS",8,7898245010303,0,763,1
79,"BISCOITO DE AMENDOIM TESOURO DE MINAS",9,7898245010525,0,597,1
80,"BISCOITO DE QUEIJO FERRADURA KG",29,7890000007528,1,752,1
81,"BISCOITO ESCALDADO KG",32,7890000908405,1,90840,1
